Name,Disc. Date,R.A.,Dec.,Total Epochs,Epochs Pre-SN,Epochs Post-SN,First Epoch,Last Epoch
Adrian,2006-04-20,22h35m24.966s,-25d57m09.61s,2,0,2,871468866.995,872610611.495
Adrian,2006-04-20,22h35m24.966s,-25d57m09.61s,2,0,2,871468866.995,872610611.495
Aki,2006-06-19,22h16m01.077s,-17d37m22.09s,96,48,48,746248970.495,903469097.995
Aki,2006-06-19,22h16m01.077s,-17d37m22.09s,109,55,54,746248970.495,937585621.995
ASASSN-13ch,2013-08-28,16h16m34.06s,-0d35m27.4s,1,1,0,768922074.495,768922074.495
ASASSN-13ch,2013-08-28,16h16m34.06s,-0d35m27.4s,1,1,0,768922074.495,768922074.495
ASASSN-13cj,2013-08-27,16h17m11.01s,4d33m14.7s,2,2,0,836555661.495,868475023.995
ASASSN-13cj,2013-08-27,16h17m11.01s,4d33m14.7s,4,4,0,800451567.495,868475023.995
ASASSN-13cp,2013-08-30,15h33m49.236s,21d08m21.87s,2,2,0,837277979.495,837325317.995
ASASSN-13cp,2013-08-30,15h33m49.236s,21d08m21.87s,2,2,0,837277979.495,837325317.995
ASASSN-13dd,2013-09-24,9h07m36.75s,3d23m39.7s,8,8,0,758034173.495,917004800.495
ASASSN-13dd,2013-09-24,9h07m36.75s,3d23m39.7s,8,8,0,758034173.495,917004800.495
ASASSN-14ad,2014-01-27,12h40m11.1s,18d03m32.8s,1,1,0,858665757.995,858665757.995
ASASSN-14ad,2014-01-27,12h40m11.1s,18d03m32.8s,2,2,0,858665757.495,991036248.995
ASASSN-14ar,2014-04-24,9h09m41.7s,37d36m06.5s,1,1,0,855104830.495,855104830.495
ASASSN-14ar,2014-04-24,9h09m41.7s,37d36m06.5s,1,1,0,855104830.495,855104830.495
ASASSN-14ay,2014-05-19,15h57m03.15s,37d24m57.78s,2,2,0,837781575.495,837787495.995
ASASSN-14ay,2014-05-19,15h57m03.15s,37d24m57.78s,2,2,0,837781575.495,837787495.995
ASASSN-14ba,2014-05-20,10h21m31.9s,8d24m21.12s,6,6,0,823049192.995,886069909.995
ASASSN-14ba,2014-05-20,10h21m31.9s,8d24m21.12s,11,11,0,794795480.495,886069909.995
ASASSN-14bb,2014-05-19,12h14m11.3s,38d39m40.8s,1,1,0,855914518.995,855914518.995
