SN Name,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations,Host Name,Search Type,Distance Modulus,Distance Modulus Error,Host PGC,Host Morphology,Host Morphology Code,Host Position
Adrian,1WGA J2235.3-2557,338.83583,-25.96167,GClstr,417611.0,1.393,,,,61,0,2,10,12,0,3,1WGA J2235.3-2557,host,,,,,,
Aki,WISEA J221601.17-173722.3,334.00493,-17.62295,G,357353.0,1.192,,22.2i,,9,0,32,5,1,0,0,CXO J221601.1-173722,host,,,,,,
CSS091127:094447+083137,SDSS J094448.19+083154.3,146.20081000000002,8.53177,*,,,,22.8g,0.396,0,0,5,1,0,4,0,,loc,,,,,,
CSS100912:223118+010516,SDSS J223118.20+010519.2,337.82586000000003,1.08867,G,,,,21.5g,0.062,0,0,15,1,0,4,0,,loc,,,,,,
Caleb,SCP 06F12 HOST,218.11979,33.53611,G,332770.0,1.11,,,,4,0,0,1,2,0,0,[EBG2008] ser J143228.7+333210,host,,,,,,
Cayanne,SN HST04Cay,189.36296000000002,62.202130000000004,SN,,,,,0.0,3,0,0,2,0,0,1,,loc,,,,,,
ESSENCEf123,ESSENCE f123,32.48868,-3.54072,SN,157721.0,0.5261,SPEC,,,1,0,0,1,1,0,0,,name,,,,,,
ESSENCEg097,WISEA J232737.12-093520.8,351.90483,-9.589160000000001,G,102829.0,0.34299999999999997,,,0.001,5,0,20,4,1,0,0,,loc,,,,,,
ESSENCEg142,ESSENCE g142 HOST,352.15708,-8.75111,G,121116.0,0.40399999999999997,,,0.0,5,0,0,1,1,0,0,,loc,,,,,,
ESSENCEg225,GALEXMSC J232715.79-092800.6,351.81582000000003,-9.46684,UvS,,,,,0.028999999999999998,0,0,4,1,0,0,0,,loc,,,,,,
ESSENCEg230,ESSENCE g230 HOST,17.98463,0.12435999999999998,G,117519.0,0.392,,,0.0,2,0,0,1,1,0,0,,loc,,,,,,
ESSENCEg240,ESSENCE g240 HOST,352.67429,-8.56972,G,,,,,0.0,5,0,0,1,0,0,0,,loc,,,,,,
ESSENCEh300,ESSENCE h300 HOST,37.91946,-8.8176,G,,,,,0.001,5,0,0,1,0,0,0,,loc,,,,,,
ESSENCEk411,ESSENCE k411 HOST,351.54904,-8.838189999999999,G,,,,,0.0,4,0,0,1,0,0,0,,loc,,,,,,
ESSENCEk467,WISEA J023111.60-074732.2,37.799170000000004,-7.79281,G,,,,,0.001,2,0,12,2,0,0,0,,loc,,,,,,
ESSENCEk490,ESSENCE k490 HOST,37.60133,-7.88915,G,214352.0,0.715,,,0.001,2,0,0,1,1,0,0,,loc,,,,,,
ESSENCEm022,ESSENCE m022 HOST,352.51125,-8.56016,G,,,,,0.0,3,0,0,1,0,0,0,,loc,,,,,,
ESSENCEm026,ESSENCE m026 HOST,352.16654,-9.33056,G,196364.0,0.655,,,0.0,3,0,0,1,1,0,0,,loc,,,,,,
ESSENCEm027,ESSENCE m027 HOST,17.31254,0.13744,G,86640.0,0.289,,,0.0,5,0,0,1,1,0,0,,loc,,,,,,
ESSENCEm032,ESSENCE m032 HOST,352.39725,-9.97954,G,,,,,0.001,3,0,0,1,0,0,0,,loc,,,,,,
ESSENCEm034,GALEXMSC J022750.14-075910.5,36.95971,-7.986560000000001,G,166984.0,0.557,,,0.0,3,0,3,2,1,0,0,,loc,,,,,,
ESSENCEm039,WISEA J022804.61-074244.0,37.01928,-7.71225,G,74349.0,0.248,,20.40,,4,0,32,4,1,4,0,SDSS J022804.62-074244.1,host,,,,,,
ESSENCEm057,ESSENCE m057 HOST,32.736540000000005,-4.45831,G,53963.0,0.18,,,0.0,3,0,0,1,1,0,0,,loc,,,,,,
ESSENCEm070,WISEA J023345.77-080825.5,38.44072,-8.140419999999999,IrS,,,,,0.261,0,0,12,1,0,0,0,,loc,,,,,,
ESSENCEm075,WISEA J232442.30-082908.6,351.17624,-8.4857,G,,,,19.5g,0.003,0,0,32,3,0,4,0,,loc,,,,,,
