Name,Disc. Date,Band,R.A.,Dec.,Total Epochs,Epochs Pre-SN,Epochs Post-SN,First Epoch,Last Epoch,Next Epoch,File
Aki,2006-06-19,FUV,22h16m01.077s,-17d37m22.09s,96,48,48,1023,795,42,Aki-FUV.fits.gz
Aki,2006-06-19,NUV,22h16m01.077s,-17d37m22.09s,109,55,54,1023,1190,42,Aki-NUV.fits.gz
CSS091127:094447+083137,2009-11-27,NUV,9h44m47.1s,8d31m37s,3,1,2,1372,450,427,CSS091127_094447+083137-NUV.fits.gz
CSS100912:223118+010516,2010-09-12,NUV,22h31m18.33s,1d05m16s,2,1,1,2209,395,395,CSS100912_223118+010516-NUV.fits.gz
Caleb,2005-12-12,NUV,14h32m28.748s,33d32m10.05s,39,13,26,203,503,123,Caleb-NUV.fits.gz
Cayanne,2004-08-27,FUV,12h37m27.11s,62d12m07.68s,82,44,38,214,1362,545,Cayanne-FUV.fits.gz
Cayanne,2004-08-27,NUV,12h37m27.11s,62d12m07.68s,131,77,54,214,2385,233,Cayanne-NUV.fits.gz
ESSENCEf123,2003-12-01,FUV,2h09m57.282s,-3d32m26.609s,3,1,2,9,1431,1084,ESSENCEf123-FUV.fits.gz
ESSENCEf123,2003-12-01,NUV,2h09m57.282s,-3d32m26.609s,10,1,9,9,2563,1084,ESSENCEf123-NUV.fits.gz
ESSENCEg097,2004-10-05,FUV,23h27m37.16s,-9d35m21s,7,3,4,407,1433,357,ESSENCEg097-FUV.fits.gz
ESSENCEg097,2004-10-05,NUV,23h27m37.16s,-9d35m21s,16,3,13,407,2181,357,ESSENCEg097-NUV.fits.gz
ESSENCEg133,2004-09-18,FUV,2h09m49.63s,-4d10m55.1s,4,1,3,301,1139,792,ESSENCEg133-FUV.fits.gz
ESSENCEg133,2004-09-18,NUV,2h09m49.63s,-4d10m55.1s,42,1,41,301,2271,792,ESSENCEg133-NUV.fits.gz
ESSENCEg142,2004-10-09,FUV,23h28m37.7s,-8d45m04s,6,2,4,35,737,353,ESSENCEg142-FUV.fits.gz
ESSENCEg142,2004-10-09,NUV,23h28m37.7s,-8d45m04s,10,2,8,35,2177,353,ESSENCEg142-NUV.fits.gz
ESSENCEg225,2004-10-17,FUV,23h27m15.69s,-9d27m59.8s,4,1,3,419,1421,729,ESSENCEg225-FUV.fits.gz
ESSENCEg225,2004-10-17,NUV,23h27m15.69s,-9d27m59.8s,13,1,12,419,2169,729,ESSENCEg225-NUV.fits.gz
ESSENCEg230,2004-10-17,FUV,1h11m56.31s,0d07m27.7s,5,1,4,376,1436,1081,ESSENCEg230-FUV.fits.gz
ESSENCEg230,2004-10-17,NUV,1h11m56.31s,0d07m27.7s,14,1,13,376,2532,1081,ESSENCEg230-NUV.fits.gz
ESSENCEg240,2004-10-13,FUV,23h30m41.83s,-8d34m11s,6,2,4,39,733,349,ESSENCEg240-FUV.fits.gz
ESSENCEg240,2004-10-13,NUV,23h30m41.83s,-8d34m11s,10,2,8,39,2173,349,ESSENCEg240-NUV.fits.gz
ESSENCEk411,2004-11-16,FUV,23h26m11.77s,-8d50m17.5s,8,2,6,73,1378,315,ESSENCEk411-FUV.fits.gz
ESSENCEk411,2004-11-16,NUV,23h26m11.77s,-8d50m17.5s,14,2,12,73,2139,315,ESSENCEk411-NUV.fits.gz
ESSENCEm022,2005-09-26,FUV,23h30m02.7s,-8d33m36.6s,9,3,6,708,722,1,ESSENCEm022-FUV.fits.gz
ESSENCEm022,2005-09-26,NUV,23h30m02.7s,-8d33m36.6s,13,3,10,708,1825,1,ESSENCEm022-NUV.fits.gz
ESSENCEm026,2005-09-26,FUV,23h28m39.97s,-9d19m50s,8,2,6,387,385,1,ESSENCEm026-FUV.fits.gz
ESSENCEm026,2005-09-26,NUV,23h28m39.97s,-9d19m50s,18,2,16,387,1825,1,ESSENCEm026-NUV.fits.gz
ESSENCEm027,2005-09-26,FUV,1h09m15.01s,0d08m14.8s,3,1,2,720,756,742,ESSENCEm027-FUV.fits.gz
ESSENCEm027,2005-09-26,NUV,1h09m15.01s,0d08m14.8s,11,1,10,720,1870,742,ESSENCEm027-NUV.fits.gz
ESSENCEm032,2005-09-25,FUV,23h29m35.34s,-9d58m46.3s,8,2,6,386,1066,2,ESSENCEm032-FUV.fits.gz
ESSENCEm032,2005-09-25,NUV,23h29m35.34s,-9d58m46.3s,13,2,11,386,1826,2,ESSENCEm032-NUV.fits.gz
ESSENCEm043,2005-09-26,FUV,23h29m51.73s,-8d56m46.1s,6,2,4,387,385,1,ESSENCEm043-FUV.fits.gz
ESSENCEm043,2005-09-26,NUV,23h29m51.73s,-8d56m46.1s,10,2,8,387,1825,1,ESSENCEm043-NUV.fits.gz
ESSENCEm062,2005-09-25,FUV,1h09m52.902s,0d36m19.03s,5,1,4,719,1101,729,ESSENCEm062-FUV.fits.gz
ESSENCEm062,2005-09-25,NUV,1h09m52.902s,0d36m19.03s,9,1,8,719,1829,729,ESSENCEm062-NUV.fits.gz
ESSENCEm070,2005-09-28,FUV,2h33m46.821s,-8d08m26.888s,7,3,4,341,1121,38,ESSENCEm070-FUV.fits.gz
ESSENCEm070,2005-09-28,NUV,2h33m46.821s,-8d08m26.888s,12,3,9,341,1899,38,ESSENCEm070-NUV.fits.gz
