Name,Disc. Date,Max Date,mmax,Host Name,R.A.,Dec.,z,Type,Phot.,Spec.,References
SN1936A,1936-01-02,1936-01-21,14.4,NGC 4273,12:19:56.000,+05:21:07.92,0.007865,II,11.0,,"2008ApJ...673..999P,2012A&A...538A.120L,1936PASP...48..226B,2016A&A...594A..13P,2011ApJ...737..103S"
SN1937A,1937-02-16,1937-02-16,16.2,NGC 4157,12:11:08.100,+50:29:43.00,0.0026,II,6.0,,"2012A&A...538A.120L,1937PASP...49..204Z,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S"
SN1937C,1937-08-16,1937-08-24,8.4,IC 4182,13:05:52.400,+37:37:08.00,0.001071,Ia,425.0,2.0,"1938ApJ....88..411B,1938PZP.....5..176P,1939AN....268..341B,1939ATsir..28...73D,2000PASP..112.1433C"
SN1937D,1937-09-09,1937-09-18,10.5,NGC 1003,02:39:20.400,+40:52:17.00,0.00518,Ia,259.0,1.0,"1938ApJ....88..411B,1949PZ......7..109P,1939AN....268..341B,1939BHarO.910....1H,2012A&A...538A.120L"
SN1937E,1937-11-26,1938-01-30,13.96,NGC 1482,03:54:37.600,-20:29:17.00,0.0062,I,8.0,,"2012A&A...538A.120L,1967AN....290...85R,2016A&A...594A..13P,1993BICDS..42...17T,1942ApJ....96...28Z"
SN1937F,1937-12-09,1937-12-26,13.5,NGC 3184,10:18:16.700,+41:22:29.00,0.0111,II,8.0,,"2012A&A...538A.120L,1974ASSL...45...19R,2016A&A...594A..13P,1993BICDS..42...17T,1988SSRv...48....1R"
SN1938A,1938-11-17,1938-11-14,15.2,MCG +06-06-68,02:37:37.800,+34:26:30.00,0.016,I,4.0,,"2012A&A...538A.120L,1939BHarO.910....1H,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S"
SN1939A,1939-01-17,1939-01-25,11.8,NGC 4636,12:42:48.700,+02:41:36.00,0.00312,Ia,68.0,2.0,"1939PASP...51..166G,1989ARA&A...2..244.,2000PASP..112.1433C,2012A&A...538A.120L,1939AN....268..341B"
SN1939B,1939-05-19,1939-05-01,12.1,NGC 4621,12:42:02.500,+11:37:53.00,0.003973,I,42.0,1.0,"1989ARA&A...2..244.,1939AnHar.487.....S,2012A&A...538A.120L,2011ApJ...730...89P,2016A&A...594A..13P"
SN1939C,1939-07-17,1939-07-05,13.1,NGC 6946,20:34:23.000,+60:09:37.00,0.00015,I,12.0,,"2012A&A...538A.120L,2016A&A...594A..13P,2003yCat.2246....0C,2011ApJ...737..103S,2008yCat....1.2024B"
SN1940A,1940-02-16,1940-02-15,14.33,NGC 5907,15:16:11.100,+56:14:15.00,0.0022,II,11.0,,"2012A&A...538A.120L,1965stst.conf..367Z,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S"
SN1940C,1940-05-04,1940-05-04,16.3,IC 1099,15:06:55.000,+56:30:32.00,0.03,II,2.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
SN1940B,1940-05-05,1940-05-04,12.74,NGC 4725,12:50:33.800,+25:32:09.00,0.004,II,51.0,,"1965stst.conf..367Z,2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S"
SN1940E,1940-11-22,1940-11-21,14.0,NGC 253,00:47:31.400,-25:17:37.00,0.00082,I,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
SN1941A,1941-02-05,1941-03-28,13.14,NGC 4559,12:35:55.500,+27:58:01.00,0.0027,II,26.0,,"1965stst.conf..367Z,2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S"
SN1941C,1941-04-16,1941-04-16,16.8,NGC 4136,12:09:21.300,+29:54:30.00,0.002,II,4.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
SN1945A,1945-04-08,1945-04-12,13.5,NGC 5195,13:29:57.900,+47:16:16.00,0.0016,I,3.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
SN1946B,1946-05-01,1946-04-30,15.7,NGC 4632,12:42:32.900,-00:04:56.00,0.0057,II,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
SN1947A,1947-03-15,1947-03-14,16.5,NGC 3177,10:16:35.600,+21:06:45.00,0.0044,II,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
SN1667A,05-28-1948,1593-01-13,4.0,Milky Way,23:23:27.9,+58:48:42.0,,IIb,1.0,1.0,"2008Sci...320.1195K,2014BASI...42...47G,2016ApJS..224....8A,1948Natur.162..462R"
SN1948B,1948-07-06,1948-06-05,14.88,NGC 6946,20:35:21.500,+60:10:17.00,0.00015,II,34.0,18.0,"2000PASP..112.1433C,1949PASP...61...97M,2012A&A...538A.120L,1948POBol...5h...6T,2016A&A...594A..13P"
SN1950A,1950-03-20,1950-02-18,17.7,IC 4051,13:00:53.100,+28:00:35.00,0.017,I,2.0,,"2012A&A...538A.120L,1950PASP...62..116H,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S"
SN1951H,1951-09-01,1951-09-27,17.19,NGC 5457,14:03:53.400,+54:21:41.04,0.00378,II,17.0,,"1974ApJ...194..223S,2012A&A...538A.120L,2008ApJ...673..999P,2016A&A...594A..13P,2004yCat.2250....0S"
SN1953H,1953-03-16,1953-03-15,17.0,A110342+4951,11:03:41.700,+49:50:47.00,,II,1.0,,"2012A&A...538A.120L,1993BICDS..42...17T,2011ApJ...737..103S"
SN1954A,1954-04-10,1954-04-19,9.1,NGC 4214,12:15:45.800,+36:16:14.00,0.00097,Ib,166.0,12.0,"2000PASP..112.1433C,1960PASP...72...97W,2000PASP..112.1439B,1955MmSAI..26..185P,1954NOGB....8...34B"
SN1954B,1954-04-27,1954-04-30,12.3,NGC 5668,14:33:24.100,+04:26:42.41,0.00609,Ia,160.0,10.0,"1960PASP...72...97W,2000PASP..112.1433C,1955MmSAI..26..185P,1954NOGB....8...34B,2012A&A...538A.120L"
SN1954C,1954-09-27,1954-10-04,14.9,NGC 5879,15:09:45.500,+57:00:03.00,0.0026,II,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
SN1954J,1954-11-26,1954-10,,NGC 2403,07:36:55.361,+65:37:52.10,0.00043,II Pec?,,,"2004yCat.2250....0S,2016A&A...594A..13P,2011ApJ...737..103S,2008yCat....1.2024B"
SN1955B,1955-09-21,1955-10-06,15.8,MCG -02-03-74,01:07:32.700,-13:16:12.00,0.054,I,8.0,,"2012A&A...538A.120L,1956PASP...68..271Z,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S"
SN1956A,1956-03-08,1956-03-17,13.08,NGC 3992,11:57:35.100,+53:22:00.00,0.005365,Ia,68.0,8.0,"2000PASP..112.1433C,1964AJ.....69..759Z,2012A&A...538A.120L,2000ApJ...540..634P,2016A&A...594A..13P"
SN1957A,1957-02-26,1957-03-01,13.45,NGC 2841,09:21:50.400,+50:59:43.00,0.0021,Ia,111.0,2.0,"1965AJ.....70..564Z,1957NOGB...11...14W,1957Stern..33..127W,2000PASP..112.1433C,2012A&A...538A.120L"
SN1957B,1957-04-23,1957-05-08,12.2,NGC 4374,12:25:02.700,+12:53:58.00,0.00445,Ia,115.0,7.0,"2000PASP..112.1433C,1957AcASn...5..321L,2000PASP..112.1439B,1964AJ.....69..236B,1958AN....284..141G"
SN1959E,1959-02-21,1960-02-20,17.5,NGC 4321,12:22:58.901,+15:49:01.09,0.0053,I,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S,2008yCat....1.2024B"
SN1959C,1959-06-28,1959-06-28,13.55,MCG +01-34-05,13:11:23.810,+03:24:37.69,0.010203,Ia,86.0,1.0,"1962PASP...74..116M,2012A&A...538A.120L,2000PASP..112.1439B,2016A&A...594A..13P,2000ApJ...540..634P"
SN1959D,1959-06-28,1959-06-30,13.31,NGC 7331,22:37:01.819,+34:25:08.06,0.0027,II,80.0,25.0,"2000PASP..112.1433C,2000PASP..112.1439B,1961ApJ...133..883A,2012A&A...538A.120L,2016A&A...594A..13P"
SN1960F,1960-04-17,1960-04-20,10.6,NGC 4496A,12:31:42.050,+03:56:47.80,0.003422,Ia,151.0,8.0,"2000PASP..112.1439B,1962MmSAI..33..147M,1961MmSAI..32..249T,1960ATsir.215....2K,2012A&A...538A.120L"
SN1960H,1960-06-18,1960-06-17,14.5,NGC 4096,12:06:07.519,+47:30:38.20,0.0019,Ia,1.0,3.0,"2000PASP..112.1439B,2012A&A...538A.120L,2000PASP..112.1433C,2016A&A...594A..13P,1993PASP..105.1250P"
SN1960I,1960-06-18,1960-05-15,18.5,MCG +08-23-37,12:26:57.420,+48:16:28.60,0.026,I,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S,2008yCat....1.2024B"
SN1960M,1960-10-26,1960-10-25,15.7,NGC 2565,08:19:47.441,+22:02:28.72,0.012,I,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S,2008yCat....1.2024B"
SN1960N,1960-10-26,1960-10-25,16.6,MCG +04-20-51,08:26:07.970,+21:27:32.29,0.015,I,1.0,1.0,"2012A&A...538A.120L,2000PASP..112.1439B,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S"
SN1960P,1960-11-22,1960-11-21,17.5,MCG +05-03-47,01:06:10.039,+31:24:23.80,0.021,I,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S,2008yCat....1.2024B"
SN1960R,1960-12-20,1960-12-19,12.0,NGC 4382,12:25:24.840,+18:09:19.40,0.002432,Ia,85.0,2.0,"1964AJ.....69..236B,2000PASP..112.1439B,2012A&A...538A.120L,1961AnHar1521.....G,1961ATsir.223....1Z"
SN1961B,1961-01-12,1961-01-11,18.5,IC 2363,08:25:46.111,+19:27:14.62,0.025235,I,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S,2008yCat....1.2024B"
SN1961D,1961-01-14,1961-01-05,16.7,MCG +05-30-101,12:50:56.400,+27:50:19.00,0.025364,I,13.0,,"1961PASP...73..185Z,2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,1990ApJ...350..110C"
SN1961F,1961-02-21,1961-02-18,12.99,NGC 3003,09:48:38.311,+33:25:35.35,0.00493,II,14.0,3.0,"2000PASP..112.1439B,1965stst.conf..367Z,2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P"
SN1961H,1961-05-02,1961-05-08,10.9,NGC 4564,12:36:27.300,+11:26:24.64,0.0039795,Ia,29.0,,"1962MmSAI..33...17R,2012A&A...538A.120L,1983PZP.....5..176T,1983PZ.....22...39T,2016A&A...594A..13P"
SN1961I,1961-06-03,1961-06-20,13.0,NGC 4303,12:22:00.439,+04:28:13.30,0.0052,II,1.0,6.0,"2000PASP..112.1439B,2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S"
SN1961J,1961-06-06,1961-06-05,16.0,MCG +05-38-27,16:11:47.561,+29:34:21.22,0.032,II,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,2003yCat.2246....0C,2011ApJ...737..103S,2008yCat....1.2024B"
SN1961P,1961-09-12,1961-09-11,13.81,UGC 2069,02:35:35.100,+37:37:60.00,0.0112,Ia,92.0,,"1964AJ.....69..236B,2012A&A...538A.120L,2016A&A...594A..13P,1988SSRv...48....1R,1993BICDS..42...17T"
SN1961V,1961-12-05,1961-12-11,12.2,NGC 1058,02:43:24.000,+37:20:43.58,0.00164,II Pec?,1.0,3.0,"2000PASP..112.1439B,2016A&A...594A..13P,1995AJ....110.2261F,2011ApJ...737..103S,2008yCat....1.2024B"
SN1961U,1962-01-02,1961-01-01,14.15,NGC 3938,11:52:47.100,+44:09:01.44,0.002665,II,17.0,,"1963MmSAI..34...33B,2008ApJ...673..999P,2012A&A...538A.120L,2016A&A...594A..13P,2011ApJ...737..103S"
SN1962A,1962-01-06,1962-01-20,15.86,MCG +05-31-132,13:06:35.549,+27:52:29.71,0.0254,Ia,20.0,,"1967AJ.....72.1366Z,2012A&A...538A.120L,2016A&A...594A..13P,1990ApJ...350..110C,1993PASP..105.1250P"
SN1962B,1962-01-06,1962-01-05,17.0,MCG +05-36-25,15:22:45.290,+29:46:08.11,0.023,I,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S,2008yCat....1.2024B"
SN1962E,1962-03-02,1962-03-01,17.5,MCG +04-27-10,11:15:05.520,+25:53:31.60,0.049,Ia*,13.0,,"2012A&A...538A.120L,1967AJ.....72..407R,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S"
SN1962I,1962-05-28,1962-05-18,17.2,MCG +05-31-112,13:02:52.370,+27:31:10.20,,I,1.0,,"2012A&A...538A.120L,1993PASP..105.1250P,2011ApJ...737..103S,2008yCat....1.2024B"
SN1962H,1962-06-28,1962-06-27,13.0,IC 4237,13:24:31.300,-21:08:16.00,0.0089,II,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
SN1962J,1962-08-28,1962-08-28,13.39,NGC 6835,19:54:30.900,-12:34:28.00,0.00729,Ia,40.0,3.0,"1965MmSAI..36..299B,2000PASP..112.1439B,2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T"
SN1962P,1962-10-09,1962-10-31,14.86,NGC 1654,04:45:49.400,-02:05:06.00,0.015,I,11.0,,"2012A&A...538A.120L,1963IBVS...37....1R,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S"
SN1962L,1962-11-23,1962-12-06,13.28,NGC 1073,02:43:42.700,+01:23:52.00,0.004,Ic,154.0,1.0,"1964AnAp...27..319B,1963Coel...31...52R,1963IBVS...37....1R,1989nane.conf..159C,2012A&A...538A.120L"
SN1962M,1962-11-26,1962-12-04,11.4,NGC 1313,03:18:12.200,-66:31:38.00,0.0016,II,19.0,,"1963CorD.......119S,2012A&A...538A.120L,2016A&A...594A..13P,2004yCat.2250....0S,2011ApJ...737..103S"
SN1962R,1962-12-01,1962-11-30,15.9,UGC 1810,02:21:30.100,+39:22:51.00,0.025,II,1.0,,"2012A&A...538A.120L,1994IAUC.5926....2G,2016A&A...594A..13P,1994IAUC.5926....1K,2011ApJ...737..103S"
SN1963A,1963-01-22,1963-01-21,18.1,MCG +05-36-32,15:26:60.000,+26:27:01.51,0.033,I,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S,2008yCat....1.2024B"
SN1963D,1963-01-23,1963-01-23,15.0,NGC 4146,12:10:20.000,+26:25:22.00,0.0305,Ia,25.0,,"1965MmSAI..36..299B,2012A&A...538A.120L,1989nane.conf..182C,2016A&A...594A..13P,1988SSRv...48....1R"
SN1963B,1963-01-23,1963-01-22,17.0,A151131+0514,15:11:31.421,+05:14:38.69,0.039,I,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S,2008yCat....1.2024B"
SN1963E,1963-01-23,1963-01-21,16.5,IC 1703,01:26:25.241,-01:38:29.80,0.019,I,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S,2008yCat....1.2024B"
SN1963C,1963-01-24,1963-01-26,15.4,MCG +05-31-32,12:57:47.729,+27:53:05.71,0.02675,I,4.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1968AJ.....73.1021K,1990ApJ...350..110C,1993PASP..105.1250P"
SN1963I,1963-05-14,1963-05-05,13.93,NGC 4178,12:12:45.610,+10:51:30.82,0.0013,Ia,16.0,1.0,"2012A&A...538A.120L,1985PZ.....22..191T,2000PASP..112.1433C,2016A&A...594A..13P,1993PASP..105.1250P"
SN1963J,1963-05-18,1963-05-24,13.0,NGC 3913,11:50:38.299,+55:21:01.44,0.00684,Ia,54.0,,"1982A&A...116...43B,1989nane.conf..149C,1964MmSAI..35..129C,2012A&A...538A.120L,2008ApJ...673..999P"
SN1963K,1963-06-15,1963-06-14,15.0,NGC 3656,11:23:39.701,+53:50:12.70,0.0096,I,1.0,,"2012A&A...538A.120L,1963IAUC.1834....1S,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S"
SN1963M,1963-06-19,1963-06-14,15.9,MCG +05-31-35,12:57:57.701,+28:03:34.31,0.0232,I,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1990ApJ...350..110C,2003yCat.2246....0C,2011ApJ...737..103S"
SN1963L,1963-06-26,1963-06-25,15.0,MCG +06-07-09,02:47:53.549,+37:31:52.72,0.0019,I,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S,2008yCat....1.2024B"
SN1963N,1963-06-27,1963-06-26,17.7,NGC 536,01:26:19.361,+34:42:05.00,0.017,II,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S,2008yCat....1.2024B"
SN1963O,1963-08-17,1963-08-10,16.0,NGC 5905,15:15:16.030,+55:30:52.88,0.0255,I,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,1988SSRv...48....1R,2011ApJ...737..103S"
SN1963P,1963-09-18,1963-09-30,14.05,NGC 1084,02:46:02.112,-07:34:50.52,0.006925,Ia,54.0,,"1989ESASP.532..174C,1965CoTol.174.....B,2012A&A...538A.120L,2008ApJ...673..999P,1967TokAB.176.2131K"
SN1964A,1964-02-04,1964-02-03,17.0,NGC 3631,11:20:54.500,+53:11:48.00,0.003885,II,1.0,,"2008ApJ...673..999P,2012A&A...538A.120L,2016A&A...594A..13P,2011ApJ...737..103S,2008yCat....1.2024B"
SN1964B,1964-02-08,1964-02-07,16.7,UGC 2646,03:18:02.500,+40:21:44.00,0.018,I,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
SN1964C,1964-02-10,1964-02-09,17.3,IC 1188A,16:06:06.859,+17:27:34.70,0.0252,I,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1985ApJ...297...23D,1993PASP..105.1250P,2011ApJ...737..103S"
SN1964E,1964-03-12,1964-03-03,12.85,MCG +09-20-51,11:59:21.000,+52:42:59.00,0.00554,Ia,94.0,2.0,"2000PASP..112.1433C,1964IBVS...56....1A,2012A&A...538A.120L,1983PZP.....5..176T,1983PZ.....22...39T"
SN1964F,1964-06-01,1964-06-13,14.0,NGC 4303,12:21:53.000,+04:28:27.00,0.0052,II,1.0,1.0,"2012A&A...538A.120L,2000PASP..112.1439B,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S"
SN1964H,1964-06-14,1964-06-13,14.8,NGC 7292,22:28:24.060,+30:17:23.50,0.0033,II,1.0,1.0,"2012A&A...538A.120L,2000PASP..112.1439B,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S"
SN1964L,1964-12-11,1964-12-08,13.45,NGC 3938,11:52:49.099,+44:07:45.48,0.002665,Ic,61.0,1.0,"1989ESASP.532..174C,1965CoTol.174.....B,2012A&A...538A.120L,2008ApJ...673..999P,2000PASP..112.1439B"
SN1965A,1965-01-01,1965-12-26,16.0,NGC 4410B,12:26:20.700,+09:01:22.00,0.025,I,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
SN1965H,1965-05-23,1965-05-26,14.0,NGC 4666,12:45:07.100,-00:28:05.00,0.0051,II,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
SN1965I,1965-06-18,1965-06-17,11.8,NGC 4753,12:52:15.400,-01:10:52.00,0.00525,Ia,100.0,,"1971MmSAI..42..145C,1966PZ.....16...90V,2012A&A...538A.120L,1985AZh....62..365T,1985SvA....62..365Y"
SN1965L,1965-09-29,1965-09-25,15.95,NGC 3631,11:20:58.400,+53:11:06.36,0.003885,II,9.0,,"2008ApJ...673..999P,2012A&A...538A.120L,1971MmSAI..42..145C,1965IAUC.1930....3C,2016A&A...594A..13P"
SN1965N,1965-12-21,1965-12-28,15.72,NGC 3074,09:59:41.710,+35:23:43.69,0.017,II,42.0,,"1967AN....289..247R,2012A&A...538A.120L,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S"
SN1966A,1966-01-18,1966-01-07,15.44,MCG +08-17-63,09:14:57.600,+46:54:22.00,0.014,I,8.0,,"2012A&A...538A.120L,1989nane.conf..254C,1971MmSAI..42..145C,2016A&A...594A..13P,1966IAUC.1949....1S"
SN1966B,1966-02-12,1966-01-25,15.0,NGC 4688,12:47:44.800,+04:19:32.16,0.003275,II,31.0,,"1967AJ.....72..912G,2008ApJ...673..999P,2012A&A...538A.120L,1983PZ.....22...39T,2016A&A...594A..13P"
SN1966E,1966-07-12,1966-07-11,14.8,NGC 4189,12:13:45.900,+13:24:53.64,0.00701,II,1.0,,"2008ApJ...673..999P,2012A&A...538A.120L,2016A&A...594A..13P,2011ApJ...737..103S,2008yCat....1.2024B"
SN1966G,1966-08-16,1966-08-15,15.5,NGC 521,01:24:37.800,+01:44:08.00,0.017,I,1.0,1.0,"2012A&A...538A.120L,2000PASP..112.1439B,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S"
SN1966N,1966-10-16,1966-10-17,14.58,MCG -01-12-37,04:36:49.600,-02:59:42.00,0.016,I,12.0,,"2012A&A...538A.120L,1989nane.conf..254C,1971MmSAI..42..145C,2016A&A...594A..13P,1993BICDS..42...17T"
SN1966K,1966-12-19,1966-12-30,17.6,MCG +05-27-53,11:18:14.500,+28:16:51.00,0.04265,Ia,10.0,,"1967AN....290..135R,2012A&A...538A.120L,2000ApJ...540..634P,2016A&A...594A..13P,1993BICDS..42...17T"
SN1966J,1966-12-20,1966-11-27,13.0,NGC 3198,10:19:45.800,+45:30:10.00,0.0022,Ia,93.0,1.0,"1968MmSAI..39..189C,1968TokAB.189.2213K,2012A&A...538A.120L,1989nane.conf..205C,1971IzKry..41..367P"
SN1967C,1967-02-28,1967-02-24,12.46,NGC 3389,10:48:25.200,+12:32:43.08,0.006615,Ia,120.0,,"1969AbaOB..37....9C,1967Afz.....3..365D,1989Afz...425..365.,2008ApJ...673..999P,1967IBVS..206....1M"
SN1967H,1967-07-01,1967-07-01,14.6,NGC 4254,12:18:47.100,+14:25:00.00,0.008,II,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
SN1968A,1968-01-25,1968-02-05,14.74,NGC 1275,03:19:49.200,+41:30:14.00,0.018,I,9.0,,"2012A&A...538A.120L,1968TokAB.189.2213K,2016A&A...594A..13P,1993BICDS..42...17T,1966IAUC.2051....1D"
SN1968V,1968-01-26,1968-01-25,15.7,NGC 2276,07:26:57.130,+85:45:53.00,0.0081,II,1.0,,"2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S,2008yCat....1.2024B"
